"name","genre"
"Leslie Odom Jr.","jazz"
"Norah Jones","jazz"
"Louis Armstrong","jazz"
"Ella Fitzgerald","jazz"
"Earth, Wind & Fire","jazz"
"Nina Simone","jazz"
"Miles Davis","jazz"
"John Coltrane","jazz"
"Dean Martin","jazz"
"Count Basie","jazz"
"Chet Baker","jazz"
"Etta James","jazz"
"Yussef Dayes","jazz"
"Nat King Cole","jazz"
"Billie Holiday","jazz"
"Aretha Franklin","jazz"
"Stan Getz","jazz"
"Kenny G","jazz"
"Caravan Palace","jazz"
"Duke Ellington","jazz"
"Bill Evans","jazz"
"Emancipator","jazz"
"George Benson","jazz"
"Ray Charles","jazz"
"A Tribe Called Quest","jazz"
"Nujabes","jazz"
"Diana Krall","jazz"
"Grover Washington, Jr.","jazz"
"Kadhja Bonet","jazz"
"Herbie Hancock","jazz"
"João Gilberto","jazz"
"Tony Bennett","jazz"
"Bonobo","jazz"
"Louis Prima","jazz"
"The Cinematic Orchestra","jazz"
"Thelonious Monk","jazz"
"Thievery Corporation","jazz"
"Oscar Peterson Trio","jazz"
"Astrud Gilberto","jazz"
"Jazz Morning Playlist","jazz"
"Héctor Lavoe","jazz"
"Antônio Carlos Jobim","jazz"
"Boney James","jazz"
"Buena Vista Social Club","jazz"
"BADBADNOTGOOD","jazz"
"Oscar Peterson","jazz"
"Gramatik","jazz"
"Django Reinhardt","jazz"
"Madeleine Peyroux","jazz"
"Yes","jazz"
"DJ Snake","electronic"
"SLANDER","electronic"
"Excision","electronic"
"RL Grime","electronic"
"Seven Lions","electronic"
"NGHTMRE","electronic"
"Zeds Dead","electronic"
"Mick Gordon","electronic"
"Big Gigantic","electronic"
"San Holo","electronic"
"deadmau5","electronic"
"Rezz","electronic"
"Nine Inch Nails","electronic"
"Bassnectar","electronic"
"Medasin","electronic"
"Yellow Claw","electronic"
"TroyBoi","electronic"
"A-Trak","electronic"
"Kayzo","electronic"
"Dillon Francis","electronic"
"Flux Pavilion","electronic"
"Ekali","electronic"
"Party Favor","electronic"
"Dzeko","electronic"
"Dabin","electronic"
"Alison Wonderland","electronic"
"Martin Jensen","electronic"
"DROELOE","electronic"
"Aphex Twin","electronic"
"Slushii","electronic"
"Branchez","electronic"
"Subtronics","electronic"
"JOYRYDE","electronic"
"Adventure Club","electronic"
"Jauz","electronic"
"Getter","electronic"
"What So Not","electronic"
"Wooli","electronic"
"MORTEN","electronic"
"Ganja White Night","electronic"
"Gaullin","electronic"
"Baauer","electronic"
"Cashmere Cat","electronic"
"SVDDEN DEATH","electronic"
"Sullivan King","electronic"
"LCD Soundsystem","electronic"
"Kill The Noise","electronic"
"DVBBS","electronic"
"Space Jesus","electronic"
"Boombox Cartel","electronic"
"The Weeknd","pop"
"Drake","pop"
"Billie Eilish","pop"
"Justin Bieber","pop"
"Taylor Swift","pop"
"Ariana Grande","pop"
"Khalid","pop"
"Dua Lipa","pop"
"Chris Brown","pop"
"BTS","pop"
"Ed Sheeran","pop"
"Harry Styles","pop"
"blackbear","pop"
"Halsey","pop"
"A Boogie Wit da Hoodie","pop"
"Rihanna","pop"
"Lauv","pop"
"Bruno Mars","pop"
"Future","pop"
"Cardi B","pop"
"Camila Cabello","pop"
"Selena Gomez","pop"
"Sam Smith","pop"
"Ty Dolla $ign","pop"
"Megan Thee Stallion","pop"
"Lil Wayne","pop"
"Maroon 5","pop"
"Beyoncé","pop"
"5 Seconds of Summer","pop"
"Shawn Mendes","pop"
"Lewis Capaldi","pop"
"Lana Del Rey","pop"
"Bazzi","pop"
"Tyga","pop"
"Demi Lovato","pop"
"Summer Walker","pop"
"One Direction","pop"
"G-Eazy","pop"
"Young Thug","pop"
"Lady Gaga","pop"
"Jeremy Zucker","pop"
"NF","pop"
"Julia Michaels","pop"
"SZA","pop"
"J. Cole","pop"
"Kehlani","pop"
"Justin Timberlake","pop"
"Kid Cudi","pop"
"Don Toliver","pop"
"Katy Perry","pop"
"Wolfgang Amadeus Mozart","classical"
"London Symphony Orchestra","classical"
